PVT,code,tPLH ps,tPHL ps,mean ps,rise 20-80 ps,fall 20-80 ps,slope up V/ns,slope down V/ns,11-stage ring MHz
sf_125C_1.08V,16,1584.35,2319.92,1952.135,2980.03,2338.51,0.23465300000000003,0.386156,23.28452973515943
sf_125C_1.08V,128,229.77,375.09,302.43,431.63,384.6,1.9325400000000001,1.92239,150.29773982258854
sf_125C_1.08V,255,145.823,232.01000000000002,188.9165,241.315,226.61,3.5846500000000003,3.22244,240.60654021509743
sf_125C_1.20V,0,17188.0,17711.100000000002,17449.550000000003,24242.8,17045.2,0.0252366,0.052897200000000005,2.6049121871077157
sf_125C_1.20V,16,1507.6399999999999,2056.32,1781.98,2700.53,2058.18,0.268162,0.48736900000000005,25.507887548987895
sf_125C_1.20V,128,201.78,322.60999999999996,262.195,391.62,339.49,2.32761,2.46204,173.36160283203515
sf_125C_1.20V,255,123.51299999999999,195.73000000000002,159.6215,217.15200000000002,197.96,4.43295,4.1343700000000005,284.7645552419032
sf_125C_1.32V,0,16479.2,15817.600000000002,16148.400000000001,22414.4,15575.199999999999,0.0300844,0.0607805,2.814801804175364
sf_125C_1.32V,16,1466.04,1862.82,1664.43,2481.87,1846.84,0.304526,0.5855480000000001,27.309376455931133
sf_125C_1.32V,128,183.73,285.94,234.835,361.29999999999995,305.94,2.7010400000000003,3.0576800000000004,193.5595011584536
sf_125C_1.32V,255,108.50399999999999,170.69,139.59699999999998,199.04,177.22,5.28603,5.12323,325.6126238711825
fs_-40C_1.08V,0,7999.799999999999,7579.1,7789.449999999999,12926.2,10258.699999999999,0.0767809,0.08954110000000001,5.8353985781467825
fs_-40C_1.08V,16,926.77,903.7,915.235,1407.43,1263.27,0.601387,0.6164740000000001,49.66434353422395
fs_-40C_1.08V,128,194.69,195.08,194.885,214.96,205.28,3.62781,3.5421400000000003,233.23778358799012
fs_-40C_1.08V,255,135.649,134.09,134.86950000000002,135.374,122.64,5.765840000000001,5.7893300000000005,337.02612862467385
fs_-40C_1.20V,0,7402.3,7010.8,7206.55,12092.4,8778.5,0.0833826,0.122743,6.307393337248121
fs_-40C_1.20V,16,804.42,788.61,796.515,1301.72,1096.88,0.7495080000000001,0.807918,57.06677897408768
fs_-40C_1.20V,128,154.04,157.1,155.57000000000002,193.44,180.16,4.54115,4.47177,292.18066114640004
fs_-40C_1.20V,255,105.95100000000001,106.4,106.1755,119.34,105.91999999999999,7.4876000000000005,7.448790000000001,428.1076656530504
fs_-40C_1.32V,0,6994.0,6548.5,6771.25,11397.300000000001,7720.700000000001,0.0845314,0.15849200000000002,6.712873613372045
fs_-40C_1.32V,16,739.4100000000001,730.11,734.7600000000001,1228.11,979.43,0.878916,1.04216,61.86311918795994
fs_-40C_1.32V,128,128.61,133.51999999999998,131.065,178.38,162.2,5.45793,5.46471,346.8091821199058
fs_-40C_1.32V,255,87.065,88.78999999999999,87.92750000000001,108.536,94.47,9.279760000000001,9.2211,516.9548259025385
fs_27C_1.08V,0,10400.6,9897.1,10148.849999999999,16771.600000000002,11919.4,0.0489974,0.0803064,4.478787789212124
fs_27C_1.08V,16,1138.8500000000001,1121.55,1130.2,1831.04,1529.36,0.48429400000000006,0.525829,40.21814320876434
fs_27C_1.08V,128,223.51999999999998,225.23999999999998,224.38,280.39,262.06,2.838,2.7997400000000003,202.5784181056487
fs_27C_1.08V,255,153.576,152.5,153.038,172.379,156.07000000000002,4.65648,4.61538,297.01476400988935
fs_27C_1.20V,0,9700.1,9089.699999999999,9394.9,15483.500000000002,10392.2,0.0523355,0.10421200000000001,4.838214930924805
fs_27C_1.20V,16,1025.31,1018.93,1022.12,1692.71,1339.35,0.574974,0.6965,44.470850247080044
fs_27C_1.20V,128,182.03,187.16,184.595,252.71,230.29,3.5330500000000002,3.54035,246.23931013594876
fs_27C_1.20V,255,122.79899999999999,124.24000000000001,123.5195,153.055,136.0,5.976240000000001,5.9084200000000004,367.9948951748142
fs_27C_1.32V,0,9335.199999999999,8437.699999999999,8886.449999999999,14488.6,9294.9,0.0567022,0.126201,5.115039802682225
fs_27C_1.32V,16,956.8799999999999,950.8000000000001,953.8400000000001,1584.3,1203.04,0.6239950000000001,0.891109,47.654266391161464
fs_27C_1.32V,128,155.82999999999998,163.26999999999998,159.54999999999998,232.81,206.93,4.23688,4.34998,284.8921683142931
fs_27C_1.32V,255,102.795,105.98,104.3875,139.072,121.64,7.35212,7.3069500000000005,435.4405024983398
fs_125C_1.08V,0,15050.599999999999,12254.5,13652.55,21397.6,13979.6,0.0290444,0.062033300000000006,3.329381357661789
fs_125C_1.08V,16,1605.97,1613.85,1609.9099999999999,2627.76,1965.57,0.29152900000000004,0.43534300000000004,28.234215238457715
fs_125C_1.08V,128,268.28,284.37,276.325,398.82000000000005,353.95,2.0577300000000003,2.1026000000000002,164.4966812794552
fs_125C_1.08V,255,175.751,184.41000000000003,180.08050000000003,235.44199999999998,212.65,3.5545000000000004,3.4827500000000002,252.41236810507215
fs_125C_1.20V,0,14711.0,11393.2,13052.1,20130.3,13026.1,0.0329983,0.0713946,3.4825465215977087
fs_125C_1.20V,16,1498.13,1489.07,1493.6,2415.81,1759.79,0.327127,0.549879,30.43287724594634
fs_125C_1.20V,128,230.92,249.48999999999998,240.205,363.39000000000004,314.34000000000003,2.50522,2.64259,189.23230346806042
fs_125C_1.20V,255,146.80100000000002,157.67000000000002,152.2355,211.131,187.54999999999998,4.456580000000001,4.407710000000001,298.580458924137
fs_125C_1.32V,0,14350.6,10589.6,12470.1,19075.699999999997,12301.7,0.0375368,0.079377,3.645082674120132
fs_125C_1.32V,16,1432.07,1392.6299999999999,1412.35,2244.58,1602.23,0.36536300000000005,0.6643680000000001,32.18362690165006
fs_125C_1.32V,128,206.07,225.55,215.81,336.93,284.53999999999996,2.94118,3.22817,210.62298065217297
fs_125C_1.32V,255,127.14600000000002,139.44,133.293,193.273,168.94,5.376130000000001,5.40319,341.0122471138428
