sample,unit_A,ifs_A,dnl_min,dnl_max,worst_code,inl_max,monotonic
117,2.576126751019608e-06,0.000662089551,-0.09989250370454761,0.049175860205756816,80,0.09019391728535052,True
118,2.5748863548627454e-06,0.000661723644,-0.09562960104931295,0.07007522673631761,248,0.114172078173817,True
119,2.573870900235294e-06,0.000661664342,-0.05521485177146501,0.07039984008061118,96,0.09594908046672783,True
120,2.575942890627451e-06,0.000661821893,-0.09134088006515129,0.16127147495548244,160,0.12335010577886427,True
121,2.575758408627451e-06,0.000662011915,-0.0773765924474561,0.063604409025247,112,0.08760108076766239,True
122,2.574392448e-06,0.000661480562,-0.07055701555570781,0.0740114632281681,160,0.0981402599266883,True
123,2.5771986936470585e-06,0.000662189574,-0.029295720905482048,0.07624841143888661,132,0.06625412530176326,True
124,2.575978631686275e-06,0.0006620051,-0.07239176186964391,0.180749701331542,96,0.21229687752507548,True
125,2.576385232117647e-06,0.000662060937,-0.06252606563237129,0.07854872220177178,96,0.07332858396655931,True
126,2.573530652117647e-06,0.000661366762,-0.19844008918155764,0.04672038694524594,192,0.1496907986655959,True
127,2.575313803137255e-06,0.000661812301,-0.05633566012829794,0.060861397423421115,64,0.08579093063298722,True
128,2.5759896243137254e-06,0.000662015829,-0.2607905008517737,0.020183456950126466,128,0.13050979981554042,True
129,2.574777994509804e-06,0.00066172571,-0.13495652644645184,0.1107777082522845,32,0.1227735681455421,True
130,2.5755417298431372e-06,0.000661948429,-0.22346084444076608,0.14162545530919401,128,0.17044012016388568,True
131,2.573145002823529e-06,0.000661317967,-0.06931323443796511,0.1042627200884838,4,0.1331522702559084,True
132,2.5754881090588236e-06,0.000661852832,-0.046312040284444134,0.13885286042803013,48,0.1150855895050078,True
133,2.5744830962352945e-06,0.000661745299,-0.074509868220072,0.16973345228164072,128,0.13873571657890998,True
134,2.5756040501960784e-06,0.000661920935,-0.0757713710619472,0.10195159841589119,96,0.10912833391536596,True
135,2.5752398352156865e-06,0.000661747691,-0.06164895131116033,0.1784828575959898,64,0.15633883049372757,True
136,2.575747186e-06,0.000661963131,-0.10283003993545203,0.06251006110970136,128,0.10423212784983196,True
